"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m1","kom","female","Faaborg-Midtfyn","2007",1223,7365,NA,NA
"m1","kom","female","Faaborg-Midtfyn","2008",1249,7422,NA,NA
"m1","kom","female","Faaborg-Midtfyn","2009",1186,7026,1219,7267
"m1","kom","female","Faaborg-Midtfyn","2010",1211,7087,1215,7176
"m1","kom","female","Faaborg-Midtfyn","2011",1168,6789,1188,6963
"m1","kom","female","Faaborg-Midtfyn","2012",1165,6742,1181,6868
"m1","kom","female","Faaborg-Midtfyn","2013",1118,6437,1150,6657
"m1","kom","female","Faaborg-Midtfyn","2014",1170,6748,1151,6642
"m1","kom","female","Faaborg-Midtfyn","2015",1109,6398,1132,6527
"m1","kom","female","Faaborg-Midtfyn","2016",1034,5925,1104,6358
"m1","kom","female","Fanø","2007",75,6823,NA,NA
"m1","kom","female","Fanø","2008",71,6070,NA,NA
"m1","kom","female","Fanø","2009",61,5252,69,6011
"m1","kom","female","Fanø","2010",59,4709,64,5320
"m1","kom","female","Fanø","2011",68,5681,63,5244
"m1","kom","female","Fanø","2012",66,5734,64,5384
"m1","kom","female","Fanø","2013",74,6233,69,5858
"m1","kom","female","Fanø","2014",71,5855,70,5951
"m1","kom","female","Fanø","2015",68,5398,71,5831
"m1","kom","female","Fanø","2016",82,6755,74,5997
"m1","kom","female","Favrskov","2007",1008,8623,NA,NA
"m1","kom","female","Favrskov","2008",1026,8607,NA,NA
"m1","kom","female","Favrskov","2009",1051,8620,1028,8617
"m1","kom","female","Favrskov","2010",1009,8139,1029,8452
"m1","kom","female","Favrskov","2011",1016,7938,1025,8226
"m1","kom","female","Favrskov","2012",1060,8112,1028,8061
"m1","kom","female","Favrskov","2013",1030,7728,1035,7922
"m1","kom","female","Favrskov","2014",1010,7517,1033,7784
"m1","kom","female","Favrskov","2015",1029,7568,1023,7604
"m1","kom","female","Favrskov","2016",945,6868,995,7311
"m1","kom","female","Faxe","2007",821,7967,NA,NA
"m1","kom","female","Faxe","2008",832,7981,NA,NA
"m1","kom","female","Faxe","2009",777,7391,810,7776
"m1","kom","female","Faxe","2010",798,7487,802,7616
"m1","kom","female","Faxe","2011",838,7758,804,7550
"m1","kom","female","Faxe","2012",823,7462,820,7574
